Ant092  4.3445 17.0720
Ant093  2.4961 15.3444
Ant094  2.9223 12.9283
Ant125  0.5887 9.5060
Ant126  1.4247 11.8288
Ant127  0.0007 12.5445
Ant128  1.3051 13.6068
Ant129  1.6435 16.9369
Ant130  -0.3162 16.1116
Ant131  -0.7595 13.7452
Ant132  -0.1443 10.9166
Ant133  -0.8417 9.5505
Ant159  -2.1520 13.1774
Ant160  -3.6663 14.2785
Ant161  -2.2170 15.3144
Ant162  -2.8659 17.3951
Ant205  -8.3743 -5.6096
Ant206  -8.8932 -7.6513
Ant212  -11.7120 -10.7410
Ant213  -10.7878 -9.3238
Ant214  -10.6364 -6.9565
Ant215  -11.8965 -5.4983
Ant216  -10.0460 -3.6411
Ant232  -13.0516 -4.3921
Ant233  -12.8901 -7.2079
Ant234  -12.5751 -8.7413
Ant235  -13.9215 -10.6486
Ant236  -12.3317 -12.5095
Ant237  -14.2029 -8.9538
Ant238  -14.7804 -7.6571
Ant239  -14.1523 -5.8717
Ant256  -16.3282 -5.9127
Ant002  16.4284 -3.6582
Ant003  17.5250 -1.1232
Ant004  16.8068 0.9433
Ant005  16.6263 3.0436
Ant009  14.0763 -0.6413
Ant010  15.0255 -1.8476
Ant011  14.7125 -3.5754
Ant018  12.6690 -1.8381
Ant019  12.6019 0.1219
Ant020  13.8768 0.8312
Ant022  13.7699 3.2684
Ant033  10.1614 1.9406
Ant034  11.5182 0.9907
Ant035  10.6486 -0.7714
Ant049  9.1510 -0.4544
Ant050  8.1745 1.0603
